--------  --------------------------  -----  -----  -----------  -----------  -----------
Job ID    Time Stamp in UTC           found  total  avg latency  max latency  min latency
JOB52706  2021-05-15 00:08:46.261000  100    /100   2696.01      2702         2694
JOB52707  2021-05-15 00:08:47.283000  100    /100   7881.98      7884         7880
JOB52708  2021-05-15 00:08:48.304000  100    /100   3412.55      3414         3411
JOB52709  2021-05-15 00:08:49.328000  100    /100   2389.05      2393         2387
JOB52710  2021-05-15 00:08:50.352000  100    /100   14951.54     14956        14950
JOB52711  2021-05-15 00:08:51.387000  100    /100   3187.6       3196         3180
JOB52712  2021-05-15 00:08:52.409000  100    /100   7395.82      7398         7394
JOB52713  2021-05-15 00:08:53.430000  100    /100   2204.43      2206         2203
JOB52714  2021-05-15 00:08:54.451000  100    /100   17304.0      17307        17303
JOB52715  2021-05-15 00:08:55.480000  100    /100   6797.39      6803         6793
JOB52716  2021-05-15 00:08:56.501000  100    /100   5772.63      5774         5772
JOB52717  2021-05-15 00:08:57.534000  100    /100   4182.73      4192         4176
JOB52718  2021-05-15 00:08:58.555000  100    /100   4700.22      4702         4699
JOB52719  2021-05-15 00:08:59.580000  100    /100   8186.94      8190         8184
JOB52720  2021-05-15 00:09:00.599000  100    /100   7165.83      7167         7165
JOB52721  2021-05-15 00:09:01.620000  100    /100   15848.86     15850        15848
JOB52722  2021-05-15 00:09:02.640000  100    /100   2240.43      2241         2240
JOB52723  2021-05-15 00:09:03.662000  100    /100   7803.74      7805         7802
JOB52724  2021-05-15 00:09:04.680000  100    /100   6784.39      6785         6784
JOB52725  2021-05-15 00:09:05.700000  100    /100   6950.54      6952         6950
JOB52726  2021-05-15 00:09:06.733000  100    /100   7146.48      7151         7140
JOB52727  2021-05-15 00:09:07.762000  100    /100   5530.34      5536         5526
JOB52728  2021-05-15 00:09:08.793000  100    /100   4499.23      4507         4495
JOB52729  2021-05-15 00:09:09.813000  100    /100   2588.88      2590         2588
JOB52730  2021-05-15 00:09:10.833000  100    /100   1887.86      1889         1887
JOB52731  2021-05-15 00:09:11.867000  100    /100   1888.79      1897         1881
JOB52732  2021-05-15 00:09:12.904000  100    /100   845.48       850          844
JOB52733  2021-05-15 00:09:13.938000  100    /100   9319.95      9331         9316
JOB52734  2021-05-15 00:09:14.962000  100    /100   6074.05      6076         6072
JOB52735  2021-05-15 00:09:15.983000  100    /100   6211.59      6213         6210
JOB52736  2021-05-15 00:09:17.003000  100    /100   3364.02      3365         3363
JOB52737  2021-05-15 00:09:18.025000  100    /100   2342.35      2345         2341
JOB52738  2021-05-15 00:09:19.045000  100    /100   5755.1       5756         5754
JOB52739  2021-05-15 00:09:20.069000  100    /100   2424.53      2427         2422
JOB52740  2021-05-15 00:09:21.099000  100    /100   1398.59      1403         1392
JOB52741  2021-05-15 00:09:22.127000  100    /100   2461.26      2467         2459
JOB52742  2021-05-15 00:09:23.158000  100    /100   11142.25     11149        11137
JOB52743  2021-05-15 00:09:24.181000  100    /100   10115.44     10117        10114
JOB52744  2021-05-15 00:09:25.211000  100    /100   4978.34      4985         4973
JOB52745  2021-05-15 00:09:26.234000  100    /100   5225.06      5227         5223
JOB52746  2021-05-15 00:09:27.261000  100    /100   7746.04      7749         7741
JOB52747  2021-05-15 00:09:28.284000  100    /100   7057.43      7060         7056
JOB52748  2021-05-15 00:09:29.310000  100    /100   3786.86      3789         3782
JOB52749  2021-05-15 00:09:30.333000  100    /100   2760.23      2763         2759
JOB52750  2021-05-15 00:09:31.354000  100    /100   15634.73     15636        15633
JOB52751  2021-05-15 00:09:32.392000  100    /100   2910.8       2922         2903
JOB52752  2021-05-15 00:09:33.413000  100    /100   2118.32      2120         2117
JOB52753  2021-05-15 00:09:34.435000  100    /100   3648.3       3650         3647
JOB52754  2021-05-15 00:09:35.456000  100    /100   1886.39      1888         1885
JOB52755  2021-05-15 00:09:36.479000  100    /100   864.23       867          862
