--------------------------  ------------  ----------  ---------  -------
Last job Time Stamp in UTC  Success Rate  total jobs  caputured  missing
2021-05-14 20:51:26.089000  100.0         400         400        0
2021-05-14 21:44:06.257000  100.0         400         400        0
2021-05-14 22:34:24.237000  100.0         400         400        0
2021-05-14 23:24:56.320000  100.0         400         400        0
2021-05-15 00:15:36.315000  100.0         400         400        0
2021-05-15 01:06:26.240000  100.0         400         400        0
2021-05-15 01:57:46.368000  100.0         400         400        0
2021-05-15 02:49:36.274000  100.0         400         400        0
2021-05-15 03:40:36.337000  100.0         400         400        0
2021-05-15 04:30:56.216000  100.0         400         400        0
2021-05-15 05:21:08.673000  100.0         400         400        0
2021-05-15 06:11:46.199000  100.0         400         400        0
2021-05-15 07:02:26.446000  100.0         400         400        0
--------------------------  ------------  ----------  ---------  -------
