--------  --------------------------  -----  -----  -----------  -----------  -----------
Job ID    Time Stamp in UTC           found  total  avg latency  max latency  min latency
JOB59112  2021-05-17 08:34:27.377000  100    /100   10203.07     10211        10192
JOB59113  2021-05-17 08:34:28.407000  100    /100   4671.15      4677         4666
JOB59114  2021-05-17 08:34:29.443000  100    /100   3481.21      3490         3473
JOB59115  2021-05-17 08:34:30.471000  100    /100   2449.8       2456         2445
JOB59116  2021-05-17 08:34:31.490000  100    /100   1223.59      1225         1223
JOB59117  2021-05-17 08:34:32.514000  100    /100   17370.15     17374        17367
JOB59118  2021-05-17 08:34:33.540000  100    /100   19718.74     19723        19714
JOB59119  2021-05-17 08:34:34.561000  100    /100   18695.74     18697        18693
JOB59120  2021-05-17 08:34:35.581000  100    /100   5089.21      5091         5088
JOB59121  2021-05-17 08:34:36.607000  100    /100   5539.27      5542         5538
JOB59122  2021-05-17 08:34:37.638000  100    /100   5800.07      5804         5798
JOB59123  2021-05-17 08:34:38.658000  100    /100   4779.01      4780         4778
JOB59124  2021-05-17 08:34:39.682000  100    /100   5330.16      5333         5328
JOB59125  2021-05-17 08:34:40.703000  100    /100   4307.89      4309         4307
JOB59126  2021-05-17 08:34:41.726000  100    /100   14287.65     14290        14285
JOB59127  2021-05-17 08:34:42.745000  100    /100   3350.45      3351         3350
JOB59128  2021-05-17 08:34:43.766000  100    /100   2330.79      2332         2329
JOB59129  2021-05-17 08:34:44.789000  100    /100   1890.55      1894         1888
JOB59130  2021-05-17 08:34:45.809000  100    /100   2104.01      2105         2103
JOB59131  2021-05-17 08:34:46.833000  100    /100   3193.45      3197         3191
JOB59132  2021-05-17 08:34:47.862000  100    /100   1917.07      1923         1912
JOB59133  2021-05-17 08:34:48.885000  100    /100   9165.21      9167         9162
JOB59134  2021-05-17 08:34:49.924000  100    /100   7548.36      7563         7542
JOB59135  2021-05-17 08:34:50.945000  100    /100   6522.3       6524         6521
JOB59136  2021-05-17 08:34:51.965000  100    /100   2639.04      2640         2638
JOB59137  2021-05-17 08:34:52.986000  100    /100   5748.55      5750         5747
JOB59138  2021-05-17 08:34:54.030000  100    /100   8937.97      8949         8924
JOB59139  2021-05-17 08:34:55.050000  100    /100   2070.07      2071         2069
JOB59140  2021-05-17 08:34:56.072000  100    /100   1048.97      1051         1047
JOB59141  2021-05-17 08:34:57.092000  100    /100   2387.26      2389         2386
JOB59142  2021-05-17 08:34:58.121000  100    /100   1361.16      1363         1357
JOB59143  2021-05-17 08:34:59.146000  100    /100   3509.51      3511         3505
JOB59144  2021-05-17 08:35:00.177000  100    /100   4699.98      4707         4696
JOB59145  2021-05-17 08:35:01.205000  100    /100   2639.16      2643         2634
JOB59146  2021-05-17 08:35:02.229000  100    /100   1931.95      1935         1930
JOB59147  2021-05-17 08:35:03.259000  100    /100   2122.25      2127         2116
JOB59148  2021-05-17 08:35:04.283000  100    /100   3729.72      3732         3728
JOB59149  2021-05-17 08:35:05.307000  100    /100   3027.42      3030         3026
JOB59150  2021-05-17 08:35:06.328000  100    /100   2006.22      2008         2005
JOB59151  2021-05-17 08:35:07.353000  100    /100   1516.82      1518         1512
JOB59152  2021-05-17 08:35:08.375000  100    /100   1556.52      1558         1555
JOB59153  2021-05-17 08:35:09.400000  100    /100   65073.19     65076        65071
JOB59154  2021-05-17 08:35:10.420000  100    /100   7156.77      7158         7156
JOB59155  2021-05-17 08:35:11.439000  100    /100   5478.37      5479         5478
JOB59156  2021-05-17 08:35:12.477000  100    /100   2414.41      2425         2405
JOB59157  2021-05-17 08:35:13.514000  100    /100   1374.16      1386         1368
JOB59158  2021-05-17 08:35:14.551000  100    /100   1640.77      1651         1633
JOB59159  2021-05-17 08:35:15.583000  100    /100   1823.08      1833         1819
JOB59160  2021-05-17 08:35:16.604000  100    /100   2326.71      2328         2326
JOB59161  2021-05-17 08:35:17.627000  100    /100   2907.46      2910         2906
JOB59162  2021-05-17 08:35:18.652000  100    /100   3062.39      3066         3061
JOB59163  2021-05-17 08:35:19.674000  100    /100   5105.67      5108         5104
JOB59164  2021-05-17 08:35:20.705000  100    /100   4078.72      4085         4073
JOB59165  2021-05-17 08:35:21.735000  100    /100   3912.35      3918         3907
JOB59166  2021-05-17 08:35:22.757000  100    /100   67682.73     67684        67681
JOB59167  2021-05-17 08:35:23.780000  100    /100   66659.78     66662        66658
JOB59168  2021-05-17 08:35:24.801000  100    /100   65638.27     65640        65637
JOB59169  2021-05-17 08:35:25.823000  100    /100   5705.96      5707         5704
JOB59170  2021-05-17 08:35:26.844000  100    /100   2688.1       2690         2687
JOB59171  2021-05-17 08:35:27.897000  100    /100   8180.46      8202         8168
JOB59172  2021-05-17 08:35:28.937000  100    /100   7136.78      7148         7128
JOB59173  2021-05-17 08:35:29.958000  100    /100   3011.28      3012         3010
JOB59174  2021-05-17 08:35:30.981000  100    /100   1787.14      1789         1785
JOB59175  2021-05-17 08:35:32.001000  100    /100   2039.8       2041         2039
JOB59176  2021-05-17 08:35:33.031000  100    /100   3358.77      3364         3353
JOB59177  2021-05-17 08:35:34.052000  100    /100   5086.45      5087         5086
JOB59178  2021-05-17 08:35:35.077000  100    /100   4063.43      4066         4061
JOB59179  2021-05-17 08:35:36.105000  100    /100   3474.14      3478         3469
JOB59180  2021-05-17 08:35:37.141000  100    /100   2046.6       2059         2042
JOB59181  2021-05-17 08:35:38.167000  100    /100   4784.88      4787         4782
JOB59182  2021-05-17 08:35:39.189000  100    /100   4622.98      4624         4621
JOB59183  2021-05-17 08:35:40.211000  100    /100   6597.3       6599         6596
JOB59184  2021-05-17 08:35:41.237000  100    /100   5574.21      5577         5570
JOB59185  2021-05-17 08:35:42.261000  100    /100   21164.95     21168        21163
JOB59186  2021-05-17 08:35:43.287000  100    /100   2357.82      2362         2355
JOB59187  2021-05-17 08:35:44.322000  100    /100   1327.33      1335         1320
JOB59188  2021-05-17 08:35:45.364000  100    /100   1827.86      1844         1821
JOB59189  2021-05-17 08:35:46.397000  100    /100   2007.42      2011         1998
JOB59190  2021-05-17 08:35:47.432000  100    /100   11721.29     11730        11715
JOB59191  2021-05-17 08:35:48.473000  100    /100   3008.03      3019         2998
JOB59192  2021-05-17 08:35:49.505000  100    /100   4931.92      4938         4925
JOB59193  2021-05-17 08:35:50.536000  100    /100   3898.46      3906         3894
JOB59194  2021-05-17 08:35:51.563000  100    /100   3624.88      3629         3621
JOB59195  2021-05-17 08:35:52.592000  100    /100   3345.68      3349         3340
JOB59196  2021-05-17 08:35:53.623000  100    /100   2973.36      2980         2969
JOB59197  2021-05-17 08:35:54.644000  100    /100   1949.08      1951         1948
JOB59198  2021-05-17 08:35:55.666000  100    /100   1755.2       1757         1754
JOB59199  2021-05-17 08:35:56.687000  100    /100   10209.0      10209        10209
JOB59200  2021-05-17 08:35:57.713000  100    /100   9187.18      9189         9183
JOB59201  2021-05-17 08:35:58.735000  100    /100   6287.23      6288         6286
JOB59202  2021-05-17 08:35:59.760000  100    /100   3454.47      3459         3453
JOB59203  2021-05-17 08:36:00.790000  100    /100   6428.38      6433         6422
JOB59204  2021-05-17 08:36:01.816000  100    /100   5399.37      5402         5396
JOB59205  2021-05-17 08:36:02.839000  100    /100   4028.79      4030         4027
JOB59206  2021-05-17 08:36:03.866000  100    /100   1959.79      1963         1956
JOB59207  2021-05-17 08:36:04.892000  100    /100   932.02       934          930
JOB59208  2021-05-17 08:36:05.914000  100    /100   19274.95     19278        19274
JOB59209  2021-05-17 08:36:06.937000  100    /100   3972.15      3974         3971
JOB59210  2021-05-17 08:36:07.963000  100    /100   5340.24      5343         5337
JOB59211  2021-05-17 08:36:08.986000  100    /100   2621.86      2624         2620
JOB59212  2021-05-17 08:36:10.008000  100    /100   1598.91      1601         1598
JOB59213  2021-05-17 08:36:11.031000  100    /100   3703.52      3705         3702
JOB59214  2021-05-17 08:36:12.055000  100    /100   12509.99     12512        12508
JOB59215  2021-05-17 08:36:13.079000  100    /100   10962.68     10964        10961
JOB59216  2021-05-17 08:36:14.102000  100    /100   2378.87      2380         2378
JOB59217  2021-05-17 08:36:15.124000  100    /100   65878.72     65880        65878
JOB59218  2021-05-17 08:36:16.146000  100    /100   4428.55      4430         4427
JOB59219  2021-05-17 08:36:17.175000  100    /100   12627.91     12635        12624
JOB59220  2021-05-17 08:36:18.202000  100    /100   3053.21      3056         3050
JOB59221  2021-05-17 08:36:19.225000  100    /100   3356.4       3358         3355
JOB59222  2021-05-17 08:36:20.254000  100    /100   2328.62      2335         2326
JOB59223  2021-05-17 08:36:21.275000  100    /100   1305.91      1307         1305
JOB59224  2021-05-17 08:36:22.298000  100    /100   14211.08     14212        14210
JOB59225  2021-05-17 08:36:23.321000  100    /100   8370.61      8372         8369
JOB59226  2021-05-17 08:36:24.352000  100    /100   7339.93      7343         7338
JOB59227  2021-05-17 08:36:25.384000  100    /100   3209.49      3216         3205
